,Title,Company/Location,Description
0,Data Scientist,commitremote,skillsdo experience web service yesno job detailshere job detail align yearjob schedule8 hour shift locationremotebenefitspulled full job description401 k dental insurancehealth insurancefull job descriptionresponsibilities collecting large set structured unstructured data various source developing algorithm analyze data apply machine learning technique cleaning validating data ensure accuracy completeness uniformity devising utilizing algorithm model mine big data store perform data error analysis improve model clean validate data uniformity accuracy analyzing data identify pattern trend interpreting data discover solution opportunity communicating finding stakeholder using visualization mean qualification advanced degree computer science statistic mathematics related field proficiency data mining mathematics statistical analysis advanced pattern recognition predictive modeling experience experience sql programming language python java familiarity machine learning framework like kera tensorflow library like excellent analytical ability great communication skill job type salary per year benefit 401 k dental insurance health insurance experience level 2 year 3 year schedule 8 hour shift work location remote
1,Data Analyst / Data Scientist,datsurawashington dc 20549 noma area un station metrorail station,skillsdo experience technical writing yesno job detailshere job detail align yearjob schedule8 hour shiftmonday friday locationdatsura washington dc 20549benefitspulled full job description401 k health insuranceretirement planfull job descriptionwe small technology consulting firm assisting federal financial agency corporate client data analytics modeling application development financial domain looking data analyst data scientist vital link information technology capacity business objective supporting ensuring successful completion analytical building testing deployment task software product feature responsibility define configuration specification business analysis requirement perform quality assurance define reporting alerting requirement develop relationship partner working optimize enhance integration help design document maintain system process report common source technical issue question make recommendation product team communicate key insight finding product team constantly lookout way improve monitoring discover issue deliver better value customer requirement u citizenship ability acquire public trust clearance candidate minimum year working experience intersection finance technology ability code python familiarity package like panda numpy plotly dash etc aws quicksight experience degree math finance solid experience writing sql query sa r aws development experience viewed favorably exposure risk management nice experience analyzing data draw conclusion data visualization technique tool candidate financial background exposure one asset class including mortgage derivative equity bond etc strong written verbal communication skill including technical writing skill job type pay per year benefit 401 k health insurance retirement plan schedule 8 hour shift monday friday experience python 3 year required aws quicksight 1 year required work 5 year preferred work location person
2,Senior Data Engineer (Machine Learning),precision,skillsdo experience spark yesno job detailshere job detail align schedule8 hour shiftmonday friday locationremotebenefitspulled full job description401 k dental insurancehealth insurancehealth saving accountvision insurancefull job descriptionare experienced data engineer looking change want work cutting edge technology established fortune 100 company fully remote basis client looking data engineer help develop maintain enhance capability data platform also looking someone proficient machine learning concept neural networking deep leraning work closely data science team build data pipeline support data science model enable automated data processing increased efficiency also help support packaging deploying model production developing infrastructure model training great opportunity interact directly data science business team help minimize time idea inception analytical insight candidate must experience aws s3 ec2 vpc security group python snowflake would remote position would generally follow est schedule sound like something like hear apply job type contract benefit 401 k dental insurance health insurance health saving account vision insurance schedule 8 hour shift monday friday work location remote
3,Data Scientist (Remote Eligible),mathematica policy researchremote princeton nj 08540,skillsdo experience tableau yesnoeducationdo bachelor degree yesno locationprinceton nj 08540benefitspulled full job descriptionemployee stock ownership planfull job description position description mathematica applies expertise intersection data method policy practice improve around world collaborate closely partner translate big question deep insight improve program refine strategy enhance understanding using data science analytics work yield actionable information guide decision policy area health education early childhood family support nutrition employment disability international development mathematica offer employee competitive salary comprehensive benefit package well advantage 100 percent employee owned employee stock owner experience financial benefit esop holding increased tandem company growth financial strength also part independent firm able define mission enhance quality accountability steadily grow financial strength read benefit http mathematica looking data scientist experience development implementation applied data science data analytics statistical programming project within human service business unit person make meaning data creation deployment approach solve problem answer important policy question client using technology natural language processing machine learning predictive analytics statistical modeling analytics platform data visualization person expertise programming language technology necessary implement method responsibility develop script r python extract transform analyze data provide methodological programming support data science task may include natural language processing predictive analytics machine learning data visualization collaboration senior data science research staff accurately interpret clearly present statistical result using combination visualization figure table support senior data science research staff interface environment compute resource construct data pipeline maintain database resource etc assist development reporting specification data user manual collaborate team gather document data security requirement position requirement bachelor degree data science data analytics computer science statistic mathematics economics another relevant field equivalent experience approximately 3 year programming experience professional academic environment strong proficiency programming language including r python experience javascript statistical programming language like stata bonus posse strong knowledge data wrangling best practice handling missing data validating data assumption constructing variable statistical modeling experience version control tool git github strong foundation statistic experience bayesian statistic bonus familiarity designing working cloud environment experience aws preferred experience sql interface large structured data source familiarity business intelligence data visualization tool tableau power bi quicksight apply please submit cover letter resume salary expectation location preference code sample preferably r python include link github repository please call specific sample want highlight code available preferred language please send code sample alternate language position offer anticipated annual salary range note agency working staffing agency fill position accept unsolicited resume please reach directly technical staff leader within mathematica question agency go talent acquisition team available location princeton nj cambridge washington dc ann arbor mi chicago il oakland ca remote equal opportunity employer discriminate employee applicant employment race color sex age national origin religion sexual orientation gender identity status veteran basis disability federal state local protected class
4,Data Scientist Positions,princeton universityprinceton nj 08544,skillsdo experience research yesnoeducationdo doctoral degree yesno location1 nassau hall princeton nj 08544full job descriptiondata scientist position available princeton precision health initiative princeton university princeton precision health pph initiative seek hire staff scientist data science computational biology psychology neuroscience rank associate professional specialist professional specialist commensurate experience pph initiative take interdisciplinary approach healthcare mental health leveraging synergy science policy enable targeted solution biomedical clinical societal challenge support precision health professional data scientist expertise computer science emphasis machine learning critical contributor success pph position report professor olga troyanskaya director pph though data scientist expected work multiple faculty research group participating pph research providing data analysis modeling expertise across interdisciplinary research space princeton data scientist strong track record modeling big data using advanced method prior experience neural biological biomedical genetic data advantageous addition candidate experience creating robust software code shared across group biomedical research community data scientist must serve hub collaborative project across discipline thus extensive research experience training required application must submitted online http application must include curriculum vitae contact information three reference essential qualification computer science computational biology neuroscience psychology related field position subject university background check policy work location position campus princeton university
5,Staff Data Scientist - Responsible AI,indeedremote,
6,Senior Data Scientist,kooth usaremote chicago il 60603,skillsdo experience machine learning yesnoeducationdo doctoral degree yesno job detailshere job detail align yearjob locationchicago il 60603benefitspulled full job description401 k dental insurancehealth insurancepaid time offprescription drug insurancevision insurancefull job description senior data scientist u chicago hybrid preferred remote time zone u kooth organization aim create welcoming space effective personalized digital mental health care accessible 20 year successful service uk rapidly expanding united state platform clinically robust accredited provide range therapeutic support intervention service predicated easy access make early intervention prevention reality kooth fully safeguarded community library peer professional created content alongside access experienced online counselor threshold support waiting list mission provide welcoming effective digital mental health support student proactively data science team kooth aim build ethical machine learning product feature part engineering team data scientist closely collaborate software engineer product manager designer delivery lead chicago hybrid preferred remote time zone role open remote work central time eastern time zone standard business hour preference given candidate willing work chicago office working day per week valid work authorization required position h1nb c2c considered currently growing u data science presence order meet growing need organization deliver mental health service safely scale exciting time join u primary responsibility include architecture design machine learning system appropriate algorithm model framework use ensuring scalability reliability sufficient performance take approach identifying opportunity data science used resource kooth product innovation making sure solving right problem first place lead development training validation machine learning model product innovation monitor optimize model production ensure privacy security measure place minimize bias fairness issue model adhere ethical guideline regulation establish maintain coding standard example providing receiving constructive feedback improve overall quality machine learning code share expertise provide guidance help develop technical skill others alongside fellow data scientist engineer learn best practice well participate code review ensure code quality maintainability adherence best practice stay updated latest advancement data science related field inform ml strategy practice work closely team software engineer product manager delivery lead researcher stakeholder understand requirement provide technical guidance ensure successful delivery machine learning product feature communicate complex technical concept audience collaborate stakeholder identify opportunity apply data science across organization ideal candidate trait include ability project priority deadline exceptional communication skill written verbal strong ability articulate idea effectively presentation written communication love using math solve problem afraid learn something new creative willing think box strives excellent versatile computer programmer interested aligning purpose value combination experience formal education enabling bring valuable blend data science expertise practical skill role bring please submit cover letter actually read resume cover letter please include answer question excites working data science kooth specific minimum requirement educational degree year work experience observed people excel skill list specifically technical leadership communication collaboration usually developed skill university degree work post education thus successful candidate tend full time work experience obtained bachelor phd degree may also include experience community organization academic research software project something else eager hire people believe mission contribute team variety way candidate check box fact often excited people professional background adjacent data science excited u see role even feel meet every single requirement still encourage apply compensation aligned skill experience exciting benefit receive team member kooth excellent medical dental vision benefit prescription drug coverage generous paid time 8 paid holiday plus two holiday christmas eve new year eve 401 k retirement plan kooth provides equal employment opportunity people without regard race color national origin ancestry citizenship age religion gender sex sexual orientation gender identity gender expression marital status pregnancy physical mental disability protected medical condition genetic information military service veteran status status characteristic protected law
7,Data Scientist I,burlington storesedgewater park nj 08010,skillsdo experience tableau yesnoeducationdo master degree yesno job detailshere job detail align yearjob locationedgewater park nj 08010benefitspulled full job description401 k dental insurancedisability insuranceflexible schedulehealth insurancepaid time offvision insurancefull job description location 4287 route 130 edgewater park nj u 08010 overview come join growing team burlington store data scientist support business area including merchandising allocation marketing supply chain analytics team insight gained analyzing burlington external data strong experience using variety data analysis method using variety data tool building implementing model algorithm simulation additionally strong interpersonal relationship building skill strong written verbal communication skill day life work stakeholder throughout organization including merchandising allocation marketing supply chain analytics identify opportunity leveraging company data drive business solution mine analyze data data warehouse drive optimization improvement product allocation marketing strategy drive sale develop predictive model using various algorithm come best outcome business follow keep latest technology trend coordinate different functional team implement model monitor outcome develop process tool monitor analyze model performance data accuracy create presentation gained insight explain stakeholder successful posse degree foreign equivalent year data science experience year practical experience saas etl data processing database programming data analytics experience writing sql code access data data warehouse experience coding using pyspark experience ulizing data year extensive background data mining statistical analysis able understand various data structure common method data transformation excellent pattern recognition predictive modeling skill working knowledge analytical tool like power bi microstrategy tableau looker etc knowledge automation tool schedule job retail experience preferred come join team going like enjoy competitive wage flexible hour associate discount burlington benefit package includes medical dental vision coverage including life disability insurance full time associate also eligible paid time paid holiday 401 k plan rapidly growing brand provide variety training development opportunity associate grow u team work hard fun together burlington associate make difference life customer colleague community live work every day burlington store equal opportunity employer committed workplace diversity posting number location park address 4287 route 130 zip code 08010 workplace type hybrid position type regular career site category corporate position category information technology evergreen yes min usd mid usd
8,"Data Engineer, Product Analytics",metaremote,skillsdo experience scala yesnoeducationdo bachelor degree yesno job detailshere job detail align year locationremotefull job description highly collaborative organization data engineer work software engineering data science product management optimize growth strategy experience 3 billion plus user well internal employee community role see direct correlation work company growth user satisfaction beyond work brightest mind industry unique opportunity solve interesting data challenge efficiency integrity scale company match data engineer product analytics responsibility manage execute data warehouse plan product group product solve problem identify data needed business problem implement logging required ensure availability data working data infrastructure triage issue resolve collaborate engineer product manager data scientist understand data need representing key data insight meaningful way build data expertise leverage data control ensure privacy security compliance data quality operation allocated area ownership design build launch new data model visualization production leveraging common development toolkits independently design build launch new data extraction transformation loading process production mentoring others around efficient query support existing process running production implement optimized solution limited guidance define manage sla data set allocated area ownership minimum qualification bachelor degree computer science computer engineering relevant technical field equivalent practical experience year work experience data engineering experience sql etl data modeling least one programming language python c scala etc preferred qualification experience one following data processing automation data quality data warehousing data governance business intelligence data visualization data privacy experience working terabyte petabyte scale data meta meta build technology help people connect find community grow business facebook launched 2004 changed way people connect apps like messenger instagram whatsapp empowered billion around world meta moving beyond 2d screen toward immersive experience like augmented virtual reality help build next evolution social technology people choose build career building u meta help shape future take u beyond digital connection make possible constraint screen limit distance even rule physic meta proud equal employment opportunity affirmative action employer discriminate based upon race religion color national origin sex including pregnancy childbirth related medical condition sexual orientation gender gender identity gender expression transgender status sexual stereotype age status protected veteran status individual disability applicable legally protected characteristic also consider qualified applicant criminal history consistent applicable federal state local law meta participates program certain location required law please note meta may leverage artificial intelligence machine learning technology connection application employment meta committed providing reasonable accommodation candidate disability recruiting process need assistance accommodation due disability please let u know
9,Data Scientist,microsoftunited state,skillsdo experience statistic yesnoeducationdo master degree yesno job detailshere job detail align yearjob locationunited statesfull job description microsoft envisions world passionate innovator come collaborate envisioning taking career place simply anywhere else world possibility innovation openness sky thinking secure world mission empower every person every organization planet achieve unique capability harmonizing need individual organization deeply care taking ideal vision globally making difference life organization corner planet customer solution area team creating executing sale strategy across customer solution area field team around world enable u deliver microsoft mission customer business insight team partner closely go market gtm strategy program enablement global sale engineering field team generate business insight influence shape direction business sale strategy accelerate growth business charter span breadth solution area design deliver standardized view business performance pipeline health build predictive analytics propensity model analyze productivity trend competitive threat surface actionable key business insight looking experienced data scientist question prior assumption proactively seek innovative solution meet seller need sale leader need executive need charting story business connected way help drive right behavior seller partner leader ideal candidate deep technical depth experience leveraging statistic data analysis data science visualization drive business insight lead action successful business outcome responsibility responsibility business understanding impact leverage understanding data science business examine project consider factor influence final outcome document key business objective effectively communicates business goal analytical technical term consistently share insight stakeholder data preparation understanding understands acquire data necessary successful completion project plan utilizes querying visualization reporting technique describe acquired data including format quantity identity surface property collaborates others perform experiment using established methodology statistic optimization probability theory general purpose software statistical package serf effective partner data preparation effort solution architect business stakeholder commercial solution area adheres microsoft privacy policy related collecting preparing data identifies data integrity problem business research identification learns understands current state commercial solution area business including knowledge tool technique strategy process utilized improve process efficiency performance maintains knowledge current trend within discipline technical lead drive develop insight conception release curious willing continuously learn business partner stakeholder define critical insight required make informed business decision sale precision continuously evolve output role ensure business alignment impact learn understand broad range data resource know use given time demonstrated analytical problem solving adaptability manage ambiguity excellent collaboration skill promote positive team environment modeling behavior continuous learning ability manipulate analyze complex data various source design build maintain business reporting dashboard ensure data integrity accuracy embody culture value qualification qualification doctorate data science mathematics statistic econometrics economics operation research computer science related field master degree data science mathematics statistic econometrics economics operation research computer science related field year experience managing structured unstructured data applying statistical technique reporting result consulting experience bachelor degree data science mathematics statistic econometrics economics operation research computer science related field year experience managing structured unstructured data applying statistical technique reporting result equivalent experience additional preferred qualification ideal candidate demonstrated dynamic passionate confident working able gain trust stakeholder across organization drive result influencing work others bachelor degree higher analytical area computer science management information system mathematics statistic engineering similar field year experience data science engineering analytics tool experience working large distributed data set derive actional insight advanced skill big data programming language advanced skill experience power bi powerapps kusto r python interpersonal communication ability leverage data tell story collaboration program management skill ability work building maintaining trust internal stakeholder data science ic3 typical base pay range role across usd per year different range applicable specific work location within san francisco bay area new york city metropolitan area base pay range role location usd per year certain role may eligible benefit compensation find additional benefit pay information http microsoft equal opportunity employer consistent applicable law qualified applicant receive consideration employment without regard age ancestry citizenship color family medical care leave gender identity expression genetic information immigration status marital status medical condition national origin physical mental disability political affiliation protected veteran military status race ethnicity religion sex including pregnancy sexual orientation characteristic protected applicable local law regulation ordinance need assistance reasonable accommodation due disability application process read requesting accommodation
